,,,,,,,,,,,,
Date,,Name,Type,url,Holiday year,country,url1,url2,Region,Importance,Description,ImpactID
25 Dec,Monday,Christmas,Gazetted Holiday,https://www.timeanddate.com/holidays/india/christmas,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
31 Dec,Sunday,New Year's Eve,Observance,https://www.timeanddate.com/holidays/india/new-year-eve,2023,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2023,,N/a,,5
1 Jan,Monday,New Year's Day,Restricted Holiday,https://www.timeanddate.com/holidays/india/new-year-day,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
13 Jan,Saturday,Lohri,Restricted Holiday,https://www.timeanddate.com/holidays/india/lohri,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
14 Jan,Sunday,Makar Sankranti,Restricted Holiday,https://www.timeanddate.com/holidays/india/makar-sankranti,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
15 Jan,Monday,Pongal,Restricted Holiday,https://www.timeanddate.com/holidays/india/pongal,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
17 Jan,Wednesday,Guru Govind Singh Jayanti,Restricted Holiday,https://www.timeanddate.com/holidays/india/guru-govind-singh-jayanti,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
25 Jan,Thursday,Hazarat Ali's Birthday,Restricted Holiday,https://www.timeanddate.com/holidays/india/harazart-ali-birthday,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
26 Jan,Friday,Republic Day,Gazetted Holiday,https://www.timeanddate.com/holidays/india/republic-day,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
10 Feb,Saturday,Lunar New Year,Observance,https://www.timeanddate.com/holidays/india/lunar-new-year,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
14 Feb,Wednesday,Vasant Panchami,Restricted Holiday,https://www.timeanddate.com/holidays/india/vasant-panchami,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
14 Feb,Wednesday,Valentine's Day,Observance,https://www.timeanddate.com/holidays/india/valentine-day,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
19 Feb,Monday,Shivaji Jayanti,Restricted Holiday,https://www.timeanddate.com/holidays/india/shivaji-jayanti,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
24 Feb,Saturday,Guru Ravidas Jayanti,Restricted Holiday,https://www.timeanddate.com/holidays/india/guru-ravidas-jayanti,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
6 Mar,Wednesday,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday,https://www.timeanddate.com/holidays/india/maharishi-dayanand-saraswati-jayanti,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
8 Mar,Friday,Maha Shivaratri/Shivaratri,Restricted Holiday,https://www.timeanddate.com/holidays/india/maha-shivaratri-shivaratri,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
12 Mar,Tuesday,Ramadan Start (Tentative Date),Observance,https://www.timeanddate.com/holidays/india/ramadan-begins,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
20 Mar,Wednesday,March Equinox,Season,https://www.timeanddate.com/calendar/march-equinox.html,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
24 Mar,Sunday,Holika Dahana,Restricted Holiday,https://www.timeanddate.com/holidays/india/holika-dahana,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
25 Mar,Monday,Holi,Gazetted Holiday,https://www.timeanddate.com/holidays/india/holi,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
25 Mar,Monday,Dolyatra,Restricted Holiday,https://www.timeanddate.com/holidays/india/dolyatra,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
28 Mar,Thursday,Maundy Thursday,"Observance, Christian",https://www.timeanddate.com/holidays/india/maundy-thursday,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
29 Mar,Friday,Good Friday,Gazetted Holiday,https://www.timeanddate.com/holidays/india/good-friday,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
31 Mar,Sunday,Easter Day,Restricted Holiday,https://www.timeanddate.com/holidays/india/easter-day,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
5 Apr,Friday,Jamat Ul-Vida (Tentative Date),Restricted Holiday,https://www.timeanddate.com/holidays/india/jamat-ul-vida,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
9 Apr,Tuesday,Chaitra Sukhladi,Restricted Holiday,https://www.timeanddate.com/holidays/india/chaitra-sukhladi,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
9 Apr,Tuesday,Ugadi,Restricted Holiday,https://www.timeanddate.com/holidays/india/ugadi,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
9 Apr,Tuesday,Gudi Padwa,Restricted Holiday,https://www.timeanddate.com/holidays/india/gudi-padwa,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
11 Apr,Thursday,Ramzan Id/Eid-ul-Fitar (Tentative Date),Gazetted Holiday,https://www.timeanddate.com/holidays/india/eid-ul-fitar,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
11 Apr,Thursday,Ramzan Id/Eid-ul-Fitar (Tentative Date),"Muslim, Common local holiday",https://www.timeanddate.com/holidays/india/eid-ul-fitar,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
13 Apr,Saturday,Vaisakhi,Restricted Holiday,https://www.timeanddate.com/holidays/india/vaisakhi,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
14 Apr,Sunday,Mesadi / Vaisakhadi,Restricted Holiday,https://www.timeanddate.com/holidays/india/mesadi-vaisakhadi,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
14 Apr,Sunday,Ambedkar Jayanti,Observance,https://www.timeanddate.com/holidays/india/ambedkar-jayanti,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
17 Apr,Wednesday,Rama Navami,Gazetted Holiday,https://www.timeanddate.com/holidays/india/rama-navami,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
21 Apr,Sunday,Mahavir Jayanti,Gazetted Holiday,https://www.timeanddate.com/holidays/india/mahavir-jayanti,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
23 Apr,Tuesday,First day of Passover,Observance,https://www.timeanddate.com/holidays/india/passover,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
1 May,Wednesday,International Worker's Day,Observance,https://www.timeanddate.com/holidays/india/may-day,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
8 May,Wednesday,Birthday of Rabindranath,Restricted Holiday,https://www.timeanddate.com/holidays/india/rabindranath-birthday,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
12 May,Sunday,Mothers' Day,Observance,https://www.timeanddate.com/holidays/india/mother-day,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
23 May,Thursday,Buddha Purnima/Vesak,Gazetted Holiday,https://www.timeanddate.com/holidays/india/buddha-purnima,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
16 Jun,Sunday,Fathers' Day,Observance,https://www.timeanddate.com/holidays/india/father-day,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
17 Jun,Monday,Bakrid/Eid ul-Adha (Tentative Date),Gazetted Holiday,https://www.timeanddate.com/holidays/india/eid-ul-adha,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
21 Jun,Friday,June Solstice,Season,https://www.timeanddate.com/calendar/june-solstice.html,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
7 Jul,Sunday,Rath Yatra,Restricted Holiday,https://www.timeanddate.com/holidays/india/rath-yatra,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
17 Jul,Wednesday,Muharram/Ashura (Tentative Date),Gazetted Holiday,https://www.timeanddate.com/holidays/india/muharram,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
21 Jul,Sunday,Guru Purnima,Observance,https://www.timeanddate.com/holidays/india/guru-purnima,2024,india,https://www.timeanddate.com/holidays/india,https://www.timeanddate.com/holidays/india/2024,,N/a,,5
